line_global,folio_id,section_label,visual_category,line_in_folio,token_count,paragraph_initial_line,raw_line_tag,tokens
61,f3r,herbal,herbal,1,5,True,"f3r.1,@P0",tsheos qopal chol cthol daimg
62,f3r,herbal,herbal,2,5,False,"f3r.2,+P0",ycheor chor dam qotcham cham
63,f3r,herbal,herbal,3,5,False,"f3r.3,+P0",ochor qocheor chol daiin cthy
64,f3r,herbal,herbal,4,6,False,"f3r.4,+P0",schey chor chal chag cham cho
65,f3r,herbal,herbal,5,4,False,"f3r.5,+P0",qokol chololy cham cthol
66,f3r,herbal,herbal,6,4,False,"f3r.6,+P0",ychtaiin chor cthom otaldam
67,f3r,herbal,herbal,7,5,False,"f3r.7,+P0",otchol qodaiin chom shom damo
68,f3r,herbal,herbal,8,5,False,"f3r.8,+P0",ysheor chor chol oky dago
69,f3r,herbal,herbal,9,5,False,"f3r.9,+P0",sho vor sheoldam otchody ol
70,f3r,herbal,herbal,10,2,False,"f3r.10,+P0",ydar cholcthom
71,f3r,herbal,herbal,11,5,False,"f3r.11,+P0",pcheol shol sols sheol shey
72,f3r,herbal,herbal,12,5,False,"f3r.12,+P0",okadaiin qokchor qo schodam octhy
73,f3r,herbal,herbal,13,6,False,"f3r.13,+P0",qokeey qot shey qokody qokshey cheody
74,f3r,herbal,herbal,14,4,False,"f3r.14,+P0",chor qodair okeey qokeey
75,f3r,herbal,herbal,15,8,False,"f3r.15,+P0",tsheoarom shor or chor olchsy chom otchom oporar
76,f3r,herbal,herbal,16,8,False,"f3r.16,+P0",oteol chol cheol ekshy qokeom qokol daiin soleeg
77,f3r,herbal,herbal,17,5,False,"f3r.17,+P0",soeom okeom yteody qokeeodal sam
78,f3r,herbal,herbal,18,7,False,"f3r.18,+P0",pcheoldom shodaiin qopchor qopol opchol qoty otolom
79,f3r,herbal,herbal,19,9,False,"f3r.19,+P0",otchor ol cheor qoeor dair qoteol qosaiin chor cthy
80,f3r,herbal,herbal,20,8,False,"f3r.20,+P0",ycheor chol odaiin chol aiin okol or am
81,f3v,herbal,herbal,1,7,True,"f3v.1,@P0",koaiin cphor qotoy sha ckhol ykoaiin oly
82,f3v,herbal,herbal,2,7,False,"f3v.2,+P0",daiidy qoteeol okeeor okor olytol dol dar
83,f3v,herbal,herbal,3,7,False,"f3v.3,+P0",okom chol shol seees chom cheeykam okai
84,f3v,herbal,herbal,4,8,False,"f3v.4,+P0",qodar ees eey kcheol okal do chear een
85,f3v,herbal,herbal,5,5,False,"f3v.5,+P0",ychear otchal cho char ckh
86,f3v,herbal,herbal,6,5,False,"f3v.6,+P0",or cheor kor chodaly chom
87,f3v,herbal,herbal,7,4,False,"f3v.7,+P0",tchor otcham chor cfham
88,f3v,herbal,herbal,8,5,False,"f3v.8,+P0",ykchy kchom chor chckhol oka
89,f3v,herbal,herbal,9,5,False,"f3v.9,+P0",ytcheear okeol cthodoaly chor cthy
90,f3v,herbal,herbal,10,6,False,"f3v.10,+P0",ochos daiin qokshol daiim chol okary
91,f3v,herbal,herbal,11,6,False,"f3v.11,+P0",sho shockho ckhy tchor chodaiin chom
92,f3v,herbal,herbal,12,5,False,"f3v.12,+P0",osh chodair ytchy tchor kcham
93,f3v,herbal,herbal,13,6,False,"f3v.13,+P0",shar shkaiin qokchy yty cthal chky
94,f3v,herbal,herbal,14,3,False,"f3v.14,+P0",dain sheam keam
95,f4r,herbal,herbal,1,9,True,"f4r.1,@P0",kodalchy chpady sheol ol sheey qotey doiin chor ytoy
96,f4r,herbal,herbal,2,8,False,"f4r.2,+P0",dchor shol shol cthol shtchy chaiin choraiin chom
97,f4r,herbal,herbal,3,7,False,"f4r.3,+P0",otchol chol chy chaiin qotaiin daiin shain
98,f4r,herbal,herbal,4,6,False,"f4r.4,+P0",qotchol chy yty daiin okaiin cthy
99,f4r,herbal,herbal,5,4,False,"f4r.5,+P0",pydaiin qotchy dy tydy
100,f4r,herbal,herbal,6,3,False,"f4r.6,+P0",chor shytchy dytcheey
101,f4r,herbal,herbal,7,4,False,"f4r.7,+P0",qotaiin cthol daiin cthom
102,f4r,herbal,herbal,8,5,False,"f4r.8,+P0",shor shol shol cthy cpholdy
103,f4r,herbal,herbal,9,5,False,"f4r.9,+P0",daiin ckhochy tchy kor aiin
104,f4r,herbal,herbal,10,4,False,"f4r.10,+P0",odal shor shyshol cphaiin
105,f4r,herbal,herbal,11,3,False,"f4r.11,+P0",qotchoiin she qoty
106,f4r,herbal,herbal,12,3,False,"f4r.12,+P0",soiin chaiin chaiin
107,f4r,herbal,herbal,13,2,False,"f4r.13,+P0",daiin cthey
108,f4v,herbal,herbal,1,6,True,"f4v.1,@P0",pchooiin ksheo kchoy chopchy dolds dlod
109,f4v,herbal,herbal,2,8,False,"f4v.2,+P0",ol chey chy cthy shkchor sheo cheory choldy
110,f4v,herbal,herbal,3,7,False,"f4v.3,+P0",sho sho chaiin shaiin daiin qodaiin aram
111,f4v,herbal,herbal,4,6,False,"f4v.4,+P0",qok qocthy choteol daiin cthey choaiin
112,f4v,herbal,herbal,5,6,False,"f4v.5,+P0",shor sheey otoiin shey qotchoiin chodain
113,f4v,herbal,herbal,6,3,False,"f4v.6,+P0",ytchoy shokchy cphody
114,f4v,herbal,herbal,7,5,False,"f4v.7,+P0",torchy sheeor chor chokch cphydy
115,f4v,herbal,herbal,8,6,False,"f4v.8,+P0",oleeeb chor cthol sho otor cthory
116,f4v,herbal,herbal,9,6,False,"f4v.9,+P0",qooko iiin cheog chcthy shoky daiin
117,f4v,herbal,herbal,10,5,False,"f4v.10,+P0",otaiin sheo okeody chol chokeody
118,f4v,herbal,herbal,11,6,False,"f4v.11,+P0",sho kcheor shody shtaiin qotol daiin
119,f4v,herbal,herbal,12,7,False,"f4v.12,+P0",qokey sho okeol keey shar char ody
120,f4v,herbal,herbal,13,5,False,"f4v.13,+P0",shody cheor chokody shodaiin qoty
121,f4v,herbal,herbal,14,4,False,"f4v.14,+P0",ochody chy key chtody
122,f5r,herbal,herbal,1,9,True,"f5r.1,@P0",kchody fchoy chkoy oaiin oar olsy chody dkshy dy
123,f5r,herbal,herbal,2,9,False,"f5r.2,+P0",ochey okey qokaiin sho ckhoy cthey chey ok otol
124,f5r,herbal,herbal,3,8,False,"f5r.3,+P0",qoaiin otan chy daiin oteeeb chocthy otchy qotchody
125,f5r,herbal,herbal,4,5,False,"f5r.4,+P0",otain sheody chan cheor chocthy
126,f5r,herbal,herbal,5,8,False,"f5r.5,+P0",tchy shody qoaiin cholols sho qotcheo daiin shodaiin
127,f5r,herbal,herbal,6,9,False,"f5r.6,+P0",sho cheor chey qoeeey qoykeeey qoeor cthy shotshy dy
128,f5r,herbal,herbal,7,5,False,"f5r.7,+P0",qotoeey keey cheo kchy shody
129,f5v,herbal,herbal,1,8,True,"f5v.1,@P0",cheor chor ytchey pshod chols chodaiin ytoiiin daiin
130,f5v,herbal,herbal,2,7,False,"f5v.2,+P0",dchol chol otaiin dain cthor chots ychopordg
131,f5v,herbal,herbal,3,8,False,"f5v.3,+P0",qotcho ytor daiin daiin otchor daiin darchor do
132,f5v,herbal,herbal,4,9,False,"f5v.4,+P0",qotor shees otol ykoiin shol daiin cthor okch taiin
133,f5v,herbal,herbal,5,8,False,"f5v.5,+P0",shokeeol chor cheotol otchol daiin dal chol chotaiin
134,f5v,herbal,herbal,6,3,False,"f5v.6,+P0",otol chol dairodg
135,f6r,herbal,herbal,1,8,True,"f6r.1,@P0",foar shol cholor cphol chor ch chopchol otcham
136,f6r,herbal,herbal,2,8,False,"f6r.2,+P0",daiin chckhy chor chor kar cthy cthor chotols
137,f6r,herbal,herbal,3,8,False,"f6r.3,+P0",foeear kshor choky os cheoeees ykeor ytaiin dam
138,f6r,herbal,herbal,4,7,False,"f6r.4,+P0",dar cho sheor cho otcham yaiir chy
139,f6r,herbal,herbal,5,5,False,"f6r.5,+P0",okoiin shees ytaly cthaiin odam
140,f6r,herbal,herbal,6,7,False,"f6r.6,+P0",or al daiin ckham okom cthaiin ydaiin
141,f6r,herbal,herbal,7,5,False,"f6r.7,+P0",daiin qodaiin cho chol okaiin
142,f6r,herbal,herbal,8,5,False,"f6r.8,+P0",ychol ckhor pchar sheo ckhaiin
143,f6r,herbal,herbal,9,5,False,"f6r.9,+P0",dar sheol skaiiodar otaiin chory
144,f6r,herbal,herbal,10,7,False,"f6r.10,+P0",tchor ctheod chy shor od she od
145,f6r,herbal,herbal,11,4,False,"f6r.11,+P0",ychar olchaj ol chokaiin
146,f6r,herbal,herbal,12,5,False,"f6r.12,+P0",or shol cthom chor cthy
147,f6r,herbal,herbal,13,3,False,"f6r.13,+P0",qocthol odaiin cthy
148,f6r,herbal,herbal,14,3,False,"f6r.14,+P0",ysho taiin kaiim
149,f6v,herbal,herbal,1,9,True,"f6v.1,@P0",koary sar eekar qoor shor chapchy chear char otchy
150,f6v,herbal,herbal,2,9,False,"f6v.2,+P0",oees chor chckhy qoekchar chea odaiiin kchey chor chaiin
151,f6v,herbal,herbal,3,8,False,"f6v.3,+P0",qoair ckhy chol oechockhy chekchoy ckhy okol rychos
152,f6v,herbal,herbal,4,8,False,"f6v.4,+P0",shckhy ytchoy os jajy dchy dey okody ytody
153,f6v,herbal,herbal,5,6,False,"f6v.5,+P0",dair chodam dam okor oty doldom
154,f6v,herbal,herbal,6,3,False,"f6v.6,+P0",tchody shocthol cho
155,f6v,herbal,herbal,7,5,False,"f6v.7,+P0",ychos ychol daiin cthol dol
156,f6v,herbal,herbal,8,4,False,"f6v.8,+P0",ychor chor okchey qokom
157,f6v,herbal,herbal,9,4,False,"f6v.9,+P0",oeeo dal chor cthom
158,f6v,herbal,herbal,10,3,False,"f6v.10,+P0",qokchod ychear kchdy
159,f6v,herbal,herbal,11,5,False,"f6v.11,+P0",lor char otam ctho dy
160,f6v,herbal,herbal,12,4,False,"f6v.12,+P0",ytcho shy qokam cthy
161,f6v,herbal,herbal,13,5,False,"f6v.13,+P0",yodaiin cthy chor oees or
162,f6v,herbal,herbal,14,4,False,"f6v.14,+P0",qokor chol cthol tchalody
163,f6v,herbal,herbal,15,5,False,"f6v.15,+P0",chockhy or chy ain ar
164,f6v,herbal,herbal,16,4,False,"f6v.16,+P0",ochy cthar cth cthy
165,f6v,herbal,herbal,17,4,False,"f6v.17,+P0",chaies ckhal cthodam dy
166,f6v,herbal,herbal,18,3,False,"f6v.18,+P0",ytchocthol ches or
167,f6v,herbal,herbal,19,4,False,"f6v.19,+P0",ocholy kchos chy dor
168,f6v,herbal,herbal,20,4,False,"f6v.20,+P0",dchor choldar okol daiin
169,f6v,herbal,herbal,21,3,False,"f6v.21,+P0",ycheor chor octham
170,f7r,herbal,herbal,1,7,True,"f7r.1,@P0",fchodaiin shopchey qko shey qoos sheey charochy
171,f7r,herbal,herbal,2,8,False,"f7r.2,+P0",dcheey keo shor dold dchey kchey otchy cheody
172,f7r,herbal,herbal,3,6,False,"f7r.3,+P0",oeeees cheodaiin sheey ytcheey qotchy chald
173,f7r,herbal,herbal,4,7,False,"f7r.4,+P0",qokcho cho lochey daiin ychey kchos odaiin
174,f7r,herbal,herbal,5,2,False,"f7r.5,+P0",oaiir otaiin
175,f7r,herbal,herbal,6,6,False,"f7r.6,+P0",ksholo chey qotoees chkoldy otchor choaiin
176,f7r,herbal,herbal,7,8,False,"f7r.7,+P0",dshoy cthol chol otchol dain shody shol chotchy
177,f7r,herbal,herbal,8,8,False,"f7r.8,+P0",okchey deeeese choty qokchy shol keey choty dain
178,f7r,herbal,herbal,9,8,False,"f7r.9,+P0",qokechy ol choiin chol cphey shckhy chochy kchod
179,f7r,herbal,herbal,10,4,False,"f7r.10,+P0",chain chor daiin chckhy
180,f7v,herbal,herbal,1,8,True,"f7v.1,@P0",polyshy shey tchody qopchy otshol dy daiin tshodody
181,f7v,herbal,herbal,2,9,False,"f7v.2,+P0",chochy cthy daiin qoky ch daiin cthol cthy cthd
182,f7v,herbal,herbal,3,10,False,"f7v.3,+P0",qokchy dykchy chkeey kshy ky ty dor cheey cheol dy
183,f7v,herbal,herbal,4,9,False,"f7v.4,+P0",choteeeb oeear choschy dain sho kshy shol deees dol
184,f7v,herbal,herbal,5,4,False,"f7v.5,+P0",dchodaiin qotchy cheey tcheey
185,f7v,herbal,herbal,6,9,False,"f7v.6,+P0",kchor sheod sheodaiin sho daiin oksho lshol dair qos
186,f7v,herbal,herbal,7,8,False,"f7v.7,+P0",okshodeeeb chorcheor odaiin shotch dol dol dor aiin
187,f7v,herbal,herbal,8,7,False,"f7v.8,+P0",qoteeeo cho cheeody qotchey tey kcho daiin
188,f7v,herbal,herbal,9,9,False,"f7v.9,+P0",sho keeo daiir chokchy dor deol dy dol daiin
189,f8r,herbal,herbal,1,9,True,"f8r.1,@P0",pshol chor otshal chopy cph chody shy cfhodar shor
190,f8r,herbal,herbal,2,9,False,"f8r.2,+P0",tchty sh kcheals sho okche do dchy dain al
191,f8r,herbal,herbal,3,7,False,"f8r.3,+P0",chodar shy sy chodaiin shokchy chor dy
192,f8r,herbal,herbal,4,9,False,"f8r.4,+P0",qotor chor chor sheey dchol shesed chof chy dam
193,f8r,herbal,herbal,5,10,False,"f8r.5,+P0",okchey do cheeey dy ky scho chky ooaiin ch taiin
194,f8r,herbal,herbal,6,7,False,"f8r.6,+P0",tosh cheey koltoldy shy choety cheeody sol
195,f8r,herbal,herbal,7,4,False,"f8r.7,+P0",choto kchoan choor dain
196,f8r,herbal,herbal,8,2,False,"f8r.8,=Pt",dcho dain
197,f8r,herbal,herbal,9,8,True,"f8r.9,*P0",tchoep sho pcheey pchey ofchey dsheey sholdaiin shor
198,f8r,herbal,herbal,10,8,False,"f8r.10,+P0",daiin cheey teeodan dy cheocthy oksheo dol dairg
199,f8r,herbal,herbal,11,8,False,"f8r.11,+P0",shol cheodaiin daiin do tchody chot choty otariin
200,f8r,herbal,herbal,12,4,False,"f8r.12,+P0",qo chodaiin shotokody chotol
201,f8r,herbal,herbal,13,1,False,"f8r.13,=Pt",okokchodg
202,f8r,herbal,herbal,14,8,True,"f8r.14,*P0",ey shol chofydy sho chey kshey lody cholal
203,f8r,herbal,herbal,15,10,False,"f8r.15,+P0",dchey ckhol chol chey kc chy daiin dol daiiir ckhy
204,f8r,herbal,herbal,16,10,False,"f8r.16,+P0",ychey kch kchy chsey kchy scheaiin cthai ar cthy dar
205,f8r,herbal,herbal,17,8,False,"f8r.17,+P0",chol dchy qokar chl aiin chean char chaiin
206,f8r,herbal,herbal,18,7,False,"f8r.18,+P0",okar cfhaiin chaiin daiin chor cha rchealcham
207,f8r,herbal,herbal,19,10,False,"f8r.19,+P0",sair cheain cphol dar shol kaiin shol kaiin dai kam
208,f8r,herbal,herbal,20,6,False,"f8r.20,+P0",or cho kesey shey kal chal
209,f8r,herbal,herbal,21,2,False,"f8r.21,=Pt",schol saim
210,f8v,herbal,herbal,1,9,True,"f8v.1,@P0",od soo sol shol otol chol opcheaiin opydaiin saiin
211,f8v,herbal,herbal,2,7,False,"f8v.2,+P0",shcthal sar chor sheaiin shor chykchy otaiin
212,f8v,herbal,herbal,3,9,False,"f8v.3,+P0",qody cheal sy chory chear shol chaiin shaiin dolas
213,f8v,herbal,herbal,4,8,False,"f8v.4,+P0",dshol shol dol chean cthar shealy daiin chary
214,f8v,herbal,herbal,5,7,False,"f8v.5,+P0",chol chol dar otchar etaiin cthol dar
215,f8v,herbal,herbal,6,7,False,"f8v.6,+P0",daiin cthan ytchy chey kaiin dain ar
216,f8v,herbal,herbal,7,7,False,"f8v.7,+P0",sho kchol dar shey cthar chotain ry
217,f8v,herbal,herbal,8,6,False,"f8v.8,+P0",okcholksh chol chol chol cthaiin dain
218,f8v,herbal,herbal,9,6,False,"f8v.9,+P0",shol orchl chokchy chol cthor chaiin
219,f8v,herbal,herbal,10,5,False,"f8v.10,+P0",scharchy oeesody kchey pchy cpharom
220,f8v,herbal,herbal,11,1,False,"f8v.11,+P0",sorain
221,f8v,herbal,herbal,12,8,False,"f8v.12,+P0",pchar cho rol dal shear chchotaiin chal daiin
222,f8v,herbal,herbal,13,7,False,"f8v.13,+P0",kchor otchar oky chokain keoky otorchy satar
223,f8v,herbal,herbal,14,9,False,"f8v.14,+P0",shor okol lokaiin shol kol char cthey tchy ckham
224,f8v,herbal,herbal,15,10,False,"f8v.15,+P0",or chol chan ch chor cheain char cheeky chor ry
225,f8v,herbal,herbal,16,8,False,"f8v.16,+P0",chor cheor chear oteey dchor chodey cho raiin
226,f8v,herbal,herbal,17,3,False,"f8v.17,+P0",dain chear daiin
227,f9r,herbal,herbal,1,9,True,"f9r.1,@P0",tydlo choly cthor orchey shy odaiin sary shor cthy
228,f9r,herbal,herbal,2,9,False,"f9r.2,+P0",oykeey chol ytaiin okchody toeoky okoiin dy or chaiin
229,f9r,herbal,herbal,3,9,False,"f9r.3,+P0",toiin cphy qotod otaiin cthy okor chey ctho ram
230,f9r,herbal,herbal,4,9,False,"f9r.4,+P0",shy chokcho chcthod shor shaiin otar dor ytol dayty
231,f9r,herbal,herbal,5,10,False,"f9r.5,+P0",daiin chor sor cthy chokoiin shol dsholdy otchol ot dy
232,f9r,herbal,herbal,6,8,False,"f9r.6,+P0",pshoain cthoaiin okaiir odoral shar sy shydal chdy
233,f9r,herbal,herbal,7,10,False,"f9r.7,+P0",or chol chy tchy tchol ytor qotol chyky chodar aiin
234,f9r,herbal,herbal,8,7,False,"f9r.8,+P0",qotcho qokchy cthey koraiin okain dal olshocth
235,f9r,herbal,herbal,9,7,False,"f9r.9,+P0",ocho cthy cho chodykchy saiin dchy daiin
236,f9r,herbal,herbal,10,3,False,"f9r.10,+Pc",ytcha oraiin chkor
237,f9v,herbal,herbal,1,10,True,"f9v.1,@P0",fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin
238,f9v,herbal,herbal,2,11,False,"f9v.2,+P0",dchor qoaiin chkaiin cthor chol chor cphol dy oty qokaiin dy
239,f9v,herbal,herbal,3,9,False,"f9v.3,+P0",ykey chor ykaiin daiin cthy otaiin oky oeees daiin
240,f9v,herbal,herbal,4,7,False,"f9v.4,+P0",ytey tch kaiin cthor otol oty toldy
241,f9v,herbal,herbal,5,8,False,"f9v.5,+P0",pchor ypcheey qotor ypchy olcfholy ar chty daiiin
242,f9v,herbal,herbal,6,8,False,"f9v.6,+P0",odol choy ksheody chody da otchy cthod yko
243,f9v,herbal,herbal,7,8,False,"f9v.7,+P0",qo chol chol chy daiin otal dor daim
244,f9v,herbal,herbal,8,5,False,"f9v.8,+P0",soiin daiin qokcho rokyd daly
245,f9v,herbal,herbal,9,6,False,"f9v.9,+P0",daiin chy tor chyty dary ytoldy
246,f9v,herbal,herbal,10,5,False,"f9v.10,+P0",oty kchol chol chy kyty
247,f9v,herbal,herbal,11,4,False,"f9v.11,+P0",ychor chshoty oky kaiin
248,f9v,herbal,herbal,12,3,False,"f9v.12,+P0",chkaiin ckhy chor
249,f10r,herbal,herbal,1,8,True,"f10r.1,@P0",pchocthy shor octhody chorchy pchodol chopchal ypch kom
250,f10r,herbal,herbal,2,10,False,"f10r.2,+P0",dchey cthoor char chty os chair otytchol oky daiin etyd
251,f10r,herbal,herbal,3,10,False,"f10r.3,+P0",qotor tchy daiin chocthy qotchy chol or yty dy dy
252,f10r,herbal,herbal,4,10,False,"f10r.4,+P0",sor chaiin chcthy ctho ckhy or aiin chtchor do ody
253,f10r,herbal,herbal,5,4,False,"f10r.5,+P0",qokchy qotchol chol cthy
254,f10r,herbal,herbal,6,9,False,"f10r.6,+P0",ycheor cthy chor cthaiin qoctholy dy chy taiin shy
255,f10r,herbal,herbal,7,9,False,"f10r.7,+P0",dchy qokchol kchaiin yty daiin cth dain dair am
256,f10r,herbal,herbal,8,8,False,"f10r.8,+P0",qotchor chor otol chol cholor chol daiin dar
257,f10r,herbal,herbal,9,7,False,"f10r.9,+P0",oykchor shor chor chy kaiiin dy chodaiin
258,f10r,herbal,herbal,10,6,False,"f10r.10,+P0",oqot otor cfhy cthor osain ytoiin
259,f10r,herbal,herbal,11,5,False,"f10r.11,+P0",otchoshor qoty qotor cthyd otar
260,f10r,herbal,herbal,12,4,False,"f10r.12,+P0",odaiin daiin qotchy qotor
261,f10v,herbal,herbal,1,9,True,"f10v.1,@P0",paiin daiin sheo pcheey qoty daiin cthor otydy sain
262,f10v,herbal,herbal,2,9,False,"f10v.2,+P0",dain daiin ckhy chcthor choiin qot chodaiin cthy daiin
263,f10v,herbal,herbal,3,7,False,"f10v.3,+P0",dsho ytey kchol ol ty chol dy
264,f10v,herbal,herbal,4,7,False,"f10v.4,+P0",qotchytor shoiin daiin qotchey sh ytor dain
265,f10v,herbal,herbal,5,9,False,"f10v.5,+P0",sho ykeey daiin qotchy qotor chol daiin qokchy ky
266,f10v,herbal,herbal,6,8,False,"f10v.6,+P0",shoiin chor shcthy qoty qotoiin qokol chor aiin
267,f10v,herbal,herbal,7,8,False,"f10v.7,+P0",qokol chy ky chol cheky daiin dain chckhan
268,f11r,herbal,herbal,1,8,True,"f11r.1,@P0",tshol schoal cfhy shfydaiin cphy shey tchody shoyty
269,f11r,herbal,herbal,2,8,False,"f11r.2,+P0",socthody qodor kshy daiin ytchy ytchoky kchol daiin
